,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Genre
265,0.841,0.588,11,22.976,1,0.0744,0.251,0.76,0.11,0.304,90.025,254962,IDM
266,0.0,0.628,1,19.259,1,0.0,0.261,0.798,0.129,0.0,100.0,156246,IDM
267,0.741,0.87,11,26.165,1,0.0679,0.0337,0.789,0.101,0.927,128.01,272200,IDM
268,0.551,0.469,2,25.607,1,0.0296,0.327,0.161,0.0939,0.498,75.495,252256,IDM
269,0.566,0.957,9,27.825,0,0.134,0.0304,0.935,0.292,0.541,167.26,381413,IDM
270,0.649,0.589,5,21.818,0,0.0294,0.853,0.929,0.107,0.305,113.022,147933,IDM
271,0.712,0.742,5,28.335,0,0.0337,0.0231,0.694,0.222,0.538,116.976,266640,IDM
272,0.431,0.623,1,26.574,1,0.0368,0.509,0.92,0.0987,0.135,166.969,217133,IDM
273,0.607,0.373,7,20.031,0,0.0384,0.0839,0.911,0.194,0.0917,91.011,419565,IDM
274,0.789,0.684,1,19.482,1,0.142,0.813,0.933,0.443,0.655,133.013,59267,IDM
275,0.667,0.567,1,22.371,1,0.044,0.0154,0.945,0.118,0.338,139.088,192080,IDM
276,0.629,0.709,4,21.83,0,0.0797,0.0214,0.768,0.111,0.443,156.039,372840,IDM
277,0.241,0.254,6,16.97,1,0.0416,0.994,0.88,0.0639,0.0378,139.131,278693,IDM
278,0.571,0.692,1,21.62,1,0.0549,0.508,0.865,0.279,0.319,120.041,71640,IDM
279,0.486,0.611,7,25.104,1,0.0407,0.0485,0.893,0.109,0.0457,100.986,281981,IDM
280,0.347,0.143,1,17.651,1,0.0336,0.949,0.921,0.094,0.0396,90.093,79173,IDM
281,0.448,0.29,5,22.037,0,0.0874,0.673,0.822,0.491,0.128,92.836,257440,IDM
282,0.783,0.745,4,22.5,0,0.0839,0.00237,0.17,0.102,0.888,133.193,509539,IDM
283,0.596,0.95,6,21.241,1,0.0462,0.0339,0.858,0.138,0.434,134.984,432893,IDM
284,0.497,0.41,10,10.670000000000002,0,0.533,0.774,0.000965,0.128,0.965,52.581,37627,IDM
285,0.701,0.729,10,25.867,0,0.396,0.0406,0.00568,0.318,0.343,114.999,561693,IDM
286,0.0,0.602,7,23.297,1,0.0,0.349,0.689,0.11,0.0,101.0,246400,IDM
287,0.675,0.759,6,20.018,0,0.0543,0.516,0.934,0.372,0.129,127.991,342000,IDM
288,0.733,0.687,1,23.513,1,0.0444,0.0224,0.702,0.0648,0.526,125.752,278708,IDM
289,0.727,0.676,10,26.065,1,0.0415,0.0886,0.612,0.0998,0.925,171.157,285667,IDM
290,0.427,0.306,7,18.381,1,0.0331,0.958,0.944,0.153,0.177,88.062,59267,IDM
291,0.706,0.625,1,24.059,1,0.0355,0.0512,0.687,0.0816,0.0635,99.979,339460,IDM
292,0.741,0.313,0,18.587,1,0.0763,0.403,0.948,0.117,0.118,125.008,132973,IDM
293,0.732,0.504,2,22.353,1,0.0302,0.788,0.828,0.0996,0.701,118.107,281304,IDM
294,0.716,0.83,4,26.339,0,0.0394,0.284,0.887,0.067,0.126,120.194,287587,IDM
